Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
3B	VREFB3BN0	IO			DIFFIO_TX_B24p	DIFFOUT_B24p	AJ5	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B25n	DIFFOUT_B25n	AJ7			GND	GND							
3B	VREFB3BN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	AG13	DQ4B	DQ1B	B_A_15								
3B	VREFB3BN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	AJ6	DQ4B	DQ1B	B_WE#								
3B	VREFB3BN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	AG12	DQ4B	DQ1B	B_A_14								
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	AC14	DQSn4B	DQSn1B	B_CS#_1	B_CS#_1							
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AK8	DQ4B	DQ1B	B_A_13								
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	AB15	DQS4B	DQS1B	B_CS#_0	B_CS#_0							
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AK7			B_A_12								
3B	VREFB3BN0	IO			DIFFIO_TX_B29n	DIFFOUT_B29n	AK9	DQ4B	DQ1B	B_A_11								
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	AH14	DQ4B	DQ1B	B_A_9	B_CA_9							
3B	VREFB3BN0	IO			DIFFIO_TX_B29p	DIFFOUT_B29p	AJ9	DQ4B	DQ1B	B_A_10								
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	AH13	DQ4B	DQ1B	B_A_8	B_CA_8							
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B31n	DIFFOUT_B31n	AF15											
3B	VREFB3BN0	IO			DIFFIO_TX_B32n	DIFFOUT_B32n	AH8	DQ4B	DQ1B	B_RAS#								
3B	VREFB3BN0	IO	"CLK0p,FPLL_BL_FBp"		DIFFIO_RX_B31p	DIFFOUT_B31p	AF14											
3B	VREFB3BN0	IO			DIFFIO_TX_B32p	DIFFOUT_B32p	AH7	DQ4B	DQ1B	B_CAS#								
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	AJ10			GND	GND							
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AK11	DQ5B		B_BA_2								
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	AH10	DQ5B		B_BA_0								
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AJ11	DQ5B		B_BA_1								
3B	VREFB3BN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	AA15	DQSn5B		B_CK#	B_CK#							
3B	VREFB3BN0	IO			DIFFIO_TX_B36n	DIFFOUT_B36n	AK13	DQ5B		B_A_7	B_CA_7							
3B	VREFB3BN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	AA14	DQS5B		B_CK	B_CK							
3B	VREFB3BN0	IO			DIFFIO_TX_B36p	DIFFOUT_B36p	AK12			B_A_6	B_CA_6							
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B37n	DIFFOUT_B37n	AJ12	DQ5B		B_A_3	B_CA_3							
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	AH15	DQ5B		B_A_5	B_CA_5							
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B37p	DIFFOUT_B37p	AH12	DQ5B		B_A_2	B_CA_2							
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	AG15	DQ5B		B_A_4	B_CA_4							
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B39n	DIFFOUT_B39n	Y16											
3B	VREFB3BN0	IO			DIFFIO_TX_B40n	DIFFOUT_B40n	AK14	DQ5B		B_A_1	B_CA_1							
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B39p	DIFFOUT_B39p	W15											
3B	VREFB3BN0	IO			DIFFIO_TX_B40p	DIFFOUT_B40p	AJ14	DQ5B		B_A_0	B_CA_0							
4A	VREFB4AN0	IO	RZQ_0		DIFFIO_TX_B41n	DIFFOUT_B41n	AG17											
4A	VREFB4AN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AF18	DQ6B		B_DQ_0	B_DQ_0							
4A	VREFB4AN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	AG16	DQ6B		B_DQ_2	B_DQ_2							
4A	VREFB4AN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	AE17	DQ6B		B_DQ_1	B_DQ_1							
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B43n	W16	DQSn6B		B_DQS#_0	B_DQS#_0							
4A	VREFB4AN0	IO			DIFFIO_TX_B44n	DIFFOUT_B44n	AF16	DQ6B		B_DQ_3	B_DQ_3							
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B43p	V16	DQS6B		B_DQS_0	B_DQS_0							
4A	VREFB4AN0	IO			DIFFIO_TX_B44p	DIFFOUT_B44p	AE16			B_ODT_0	B_ODT_0							
4A	VREFB4AN0	IO			DIFFIO_TX_B45n	DIFFOUT_B45n	AK16	DQ6B		B_ODT_1	B_ODT_1							
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	AH20	DQ6B		B_DQ_4	B_DQ_4							
4A	VREFB4AN0	IO			DIFFIO_TX_B45p	DIFFOUT_B45p	AJ16	DQ6B		B_DQ_6	B_DQ_6							
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	AG21	DQ6B		B_DQ_5	B_DQ_5							
4A	VREFB4AN0	IO	CLK2n		DIFFIO_RX_B47n	DIFFOUT_B47n	AB17											
4A	VREFB4AN0	IO			DIFFIO_TX_B48n	DIFFOUT_B48n	AH18	DQ6B		B_DQ_7	B_DQ_7							
4A	VREFB4AN0	IO	CLK2p		DIFFIO_RX_B47p	DIFFOUT_B47p	AA16											
4A	VREFB4AN0	IO			DIFFIO_TX_B48p	DIFFOUT_B48p	AH17	DQ6B		B_DM_0	B_DM_0							
4A	VREFB4AN0	IO			DIFFIO_TX_B49n	DIFFOUT_B49n	AH19			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	AK18	DQ7B	DQ2B	B_DQ_8	B_DQ_8							
4A	VREFB4AN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	AG18	DQ7B	DQ2B	B_DQ_10	B_DQ_10							
4A	VREFB4AN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	AJ17	DQ7B	DQ2B	B_DQ_9	B_DQ_9							
4A	VREFB4AN0	IO			DIFFIO_RX_B51n	DIFFOUT_B51n	W17	DQSn7B	DQ2B	B_DQS#_1	B_DQS#_1							
4A	VREFB4AN0	IO			DIFFIO_TX_B52n	DIFFOUT_B52n	AK19	DQ7B	DQ2B	B_DQ_11	B_DQ_11							
4A	VREFB4AN0	IO			DIFFIO_RX_B51p	DIFFOUT_B51p	V17	DQS7B	DQ2B	B_DQS_1	B_DQS_1							
4A	VREFB4AN0	IO			DIFFIO_TX_B52p	DIFFOUT_B52p	AJ19			B_CKE_1	B_CKE_1							
4A	VREFB4AN0	IO			DIFFIO_TX_B53n	DIFFOUT_B53n	AJ21	DQ7B	DQ2B	B_CKE_0	B_CKE_0							
4A	VREFB4AN0	IO			DIFFIO_RX_B54n	DIFFOUT_B54n	AG20	DQ7B	DQ2B	B_DQ_12	B_DQ_12							
4A	VREFB4AN0	IO			DIFFIO_TX_B53p	DIFFOUT_B53p	AJ20	DQ7B	DQ2B	B_DQ_14	B_DQ_14							
4A	VREFB4AN0	IO			DIFFIO_RX_B54p	DIFFOUT_B54p	AF19	DQ7B	DQ2B	B_DQ_13	B_DQ_13							
4A	VREFB4AN0	IO	CLK3n		DIFFIO_RX_B55n	DIFFOUT_B55n	AD17											
4A	VREFB4AN0	IO			DIFFIO_TX_B56n	DIFFOUT_B56n	AH24	DQ7B	DQ2B	B_DQ_15	B_DQ_15							
4A	VREFB4AN0	IO	CLK3p		DIFFIO_RX_B55p	DIFFOUT_B55p	AC18											
4A	VREFB4AN0	IO			DIFFIO_TX_B56p	DIFFOUT_B56p	AG23	DQ7B	DQ2B	B_DM_1	B_DM_1							
4A	VREFB4AN0	IO			DIFFIO_TX_B57n	DIFFOUT_B57n	AH22			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B58n	DIFFOUT_B58n	AE19	DQ8B	DQ2B	B_DQ_16	B_DQ_16							
4A	VREFB4AN0	IO			DIFFIO_TX_B57p	DIFFOUT_B57p	AG22	DQ8B	DQ2B	B_DQ_18	B_DQ_18							
4A	VREFB4AN0	IO			DIFFIO_RX_B58p	DIFFOUT_B58p	AE18	DQ8B	DQ2B	B_DQ_17	B_DQ_17							
4A	VREFB4AN0	IO			DIFFIO_RX_B59n	DIFFOUT_B59n	AA18	DQSn8B	DQSn2B	B_DQS#_2	B_DQS#_2							
4A	VREFB4AN0	IO			DIFFIO_TX_B60n	DIFFOUT_B60n	AK22	DQ8B	DQ2B	B_DQ_19	B_DQ_19							
4A	VREFB4AN0	IO			DIFFIO_RX_B59p	DIFFOUT_B59p	Y17	DQS8B	DQS2B	B_DQS_2	B_DQS_2							
4A	VREFB4AN0	IO			DIFFIO_TX_B60p	DIFFOUT_B60p	AK21			B_RESET#	B_RESET#							
4A	VREFB4AN0	IO			DIFFIO_TX_B61n	DIFFOUT_B61n	AJ22	DQ8B	DQ2B	GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B62n	DIFFOUT_B62n	AF21	DQ8B	DQ2B	B_DQ_20	B_DQ_20							
4A	VREFB4AN0	IO			DIFFIO_TX_B61p	DIFFOUT_B61p	AH23	DQ8B	DQ2B	B_DQ_22	B_DQ_22							
4A	VREFB4AN0	IO			DIFFIO_RX_B62p	DIFFOUT_B62p	AF20	DQ8B	DQ2B	B_DQ_21	B_DQ_21							
4A	VREFB4AN0	IO			DIFFIO_RX_B63n	DIFFOUT_B63n	AA19			GND	GND							
