Device/Package xc7v2000tflg1925 8/18/2011 15:49:36,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
AG42,IO_L16P_T2_CSI_B_14,2,14,1,1,HP,NA
AH42,IO_L16N_T2_A15_D31_14,2,14,1,1,HP,NA
AE43,IO_L17P_T2_A14_D30_14,2,14,1,1,HP,NA
AF43,IO_L17N_T2_A13_D29_14,2,14,1,1,HP,NA
AF44,IO_L18P_T2_A12_D28_14,2,14,1,1,HP,NA
AG44,IO_L18N_T2_A11_D27_14,2,14,1,1,HP,NA
AG29,IO_L19P_T3_A10_D26_14,3,14,1,1,HP,NA
AG30,IO_L19N_T3_A09_D25_VREF_14,3,14,1,1,HP,NA
AE30,IO_L20P_T3_A08_D24_14,3,14,1,1,HP,NA
AE31,IO_L20N_T3_A07_D23_14,3,14,1,1,HP,NA
AH28,IO_L21P_T3_DQS_14,3,14,1,1,HP,NA
AH29,IO_L21N_T3_DQS_A06_D22_14,3,14,1,1,HP,NA
AF29,IO_L22P_T3_A05_D21_14,3,14,1,1,HP,NA
AF30,IO_L22N_T3_A04_D20_14,3,14,1,1,HP,NA
AJ29,IO_L23P_T3_A03_D19_14,3,14,1,1,HP,NA
AJ30,IO_L23N_T3_A02_D18_14,3,14,1,1,HP,NA
AG31,IO_L24P_T3_A01_D17_14,3,14,1,1,HP,NA
AH31,IO_L24N_T3_A00_D16_14,3,14,1,1,HP,NA
AJ28,IO_25_VRP_14,NA,14,1,1,HP,NA
AA35,IO_0_VRN_15,NA,15,1,1,HP,NA
AC33,IO_L1P_T0_AD0P_15,0,15,1,1,HP,NA
AC34,IO_L1N_T0_AD0N_15,0,15,1,1,HP,NA
AB34,IO_L2P_T0_AD8P_15,0,15,1,1,HP,NA
AA34,IO_L2N_T0_AD8N_15,0,15,1,1,HP,NA
AD33,IO_L3P_T0_DQS_AD1P_15,0,15,1,1,HP,NA
AD34,IO_L3N_T0_DQS_AD1N_15,0,15,1,1,HP,NA
AB35,IO_L4P_T0_15,0,15,1,1,HP,NA
AB36,IO_L4N_T0_15,0,15,1,1,HP,NA
AD35,IO_L5P_T0_AD9P_15,0,15,1,1,HP,NA
AD36,IO_L5N_T0_AD9N_15,0,15,1,1,HP,NA
AA32,IO_L6P_T0_15,0,15,1,1,HP,NA
AA33,IO_L6N_T0_VREF_15,0,15,1,1,HP,NA
AD39,IO_L7P_T1_AD2P_15,1,15,1,1,HP,NA
AD40,IO_L7N_T1_AD2N_15,1,15,1,1,HP,NA
AB37,IO_L8P_T1_AD10P_15,1,15,1,1,HP,NA
AA37,IO_L8N_T1_AD10N_15,1,15,1,1,HP,NA
AC36,IO_L9P_T1_DQS_AD3P_15,1,15,1,1,HP,NA
AC37,IO_L9N_T1_DQS_AD3N_15,1,15,1,1,HP,NA
AD38,IO_L10P_T1_AD11P_15,1,15,1,1,HP,NA
AC38,IO_L10N_T1_AD11N_15,1,15,1,1,HP,NA
AC39,IO_L11P_T1_SRCC_15,1,15,1,1,HP,NA
AB39,IO_L11N_T1_SRCC_15,1,15,1,1,HP,NA
AA38,IO_L12P_T1_MRCC_15,1,15,1,1,HP,NA
AA39,IO_L12N_T1_MRCC_15,1,15,1,1,HP,NA
AC41,IO_L13P_T2_MRCC_15,2,15,1,1,HP,NA
AB41,IO_L13N_T2_MRCC_15,2,15,1,1,HP,NA
AB40,IO_L14P_T2_SRCC_15,2,15,1,1,HP,NA
AA40,IO_L14N_T2_SRCC_15,2,15,1,1,HP,NA
AC42,IO_L15P_T2_DQS_15,2,15,1,1,HP,NA
AB42,IO_L15N_T2_DQS_ADV_B_15,2,15,1,1,HP,NA
AA42,IO_L16P_T2_A28_15,2,15,1,1,HP,NA
AA43,IO_L16N_T2_A27_15,2,15,1,1,HP,NA
